,VALE3,ITUB4,B3SA3,PETR4,BBDC4,ABEV3,BBAS3,LREN3,JBSS3,WEGE3,NTCO3
VALE3,0.18768901731963475,0.054161130729631426,0.05856234697217275,0.1004733728392188,0.06069155757600853,0.02990267549779596,0.06934950779301965,0.048967025691923106,0.051662104337806394,0.031622055365242055,0.05333225633672454
ITUB4,0.054161130729631426,0.10164702765537985,0.07206751277038904,0.08797426157571359,0.09372754214178247,0.033799858626764594,0.10084244907568408,0.06046656299323902,0.05204146736549199,0.03470603506640103,0.05095100323331448
B3SA3,0.05856234697217275,0.07206751277038904,0.13794767938630875,0.0966225193678465,0.07849491404462511,0.035886470113815745,0.09205876083597603,0.06807046323497234,0.06256820290509926,0.0393031026946295,0.05892481948698967
PETR4,0.10047337283921878,0.08797426157571359,0.0966225193678465,0.22795838933043264,0.09819357947444576,0.03900675053835588,0.12501707262133263,0.07467314373515137,0.07517848483601139,0.04515367915582954,0.0728675036495095
BBDC4,0.06069155757600853,0.09372754214178247,0.07849491404462511,0.09819357947444576,0.11495646279403497,0.03725103698420719,0.11099513063699923,0.06802207657789423,0.057453155061522744,0.037972780915376834,0.05724153856783756
ABEV3,0.02990267549779596,0.033799858626764594,0.035886470113815745,0.03900675053835588,0.03725103698420719,0.06325716078301993,0.039759279578162235,0.03619648015509879,0.03062093028756171,0.025658041156193523,0.03533896380059161
BBAS3,0.06934950779301965,0.10084244907568408,0.09205876083597603,0.12501707262133263,0.11099513063699923,0.039759279578162235,0.18353380008033757,0.08023899057383974,0.06777555226366143,0.040791850560832406,0.07196163291809285
LREN3,0.0489670256919231,0.06046656299323902,0.06807046323497234,0.07467314373515137,0.06802207657789423,0.03619648015509879,0.08023899057383974,0.13450986522120537,0.05799366276297178,0.03604493757110488,0.06462831070198953
JBSS3,0.051662104337806394,0.05204146736549199,0.06256820290509926,0.07517848483601139,0.057453155061522744,0.03062093028756171,0.06777555226366143,0.05799366276297178,0.2520432086147498,0.03300562157127656,0.0511907219525692
WEGE3,0.031622055365242055,0.03470603506640103,0.0393031026946295,0.04515367915582954,0.037972780915376834,0.025658041156193523,0.040791850560832406,0.03604493757110488,0.03300562157127656,0.09616595741229794,0.03657695806090768
NTCO3,0.05333225633672454,0.05095100323331448,0.05892481948698967,0.0728675036495095,0.05724153856783756,0.03533896380059161,0.07196163291809285,0.06462831070198952,0.0511907219525692,0.03657695806090768,0.154574519883136
