,VALE3,ITUB4,B3SA3,PETR4,BBDC4,ABEV3,BBAS3,LREN3,JBSS3,WEGE3,NTCO3
VALE3,0.19091095960347926,0.055063434282553815,0.05938398145544825,0.1024553528781728,0.06168365465295246,0.030402651171588455,0.07053341977038932,0.04976761866311595,0.052509823210713055,0.032151022061610406,0.05435476604898112
ITUB4,0.055063434282553815,0.10308178433396942,0.07297884211676618,0.08945607315136016,0.09513285038675118,0.03431341576855862,0.10246871367134013,0.061393975263071186,0.05278222180955426,0.03522410834351473,0.05178963689722373
B3SA3,0.05938398145544825,0.07297884211676618,0.13900117660155922,0.09794461089436442,0.07945790609837057,0.03633765023114783,0.09324607806625404,0.06892815823057752,0.06332257159628908,0.03979682400745804,0.05975349192636596
PETR4,0.1024553528781728,0.08945607315136016,0.09794461089436442,0.23166244944257064,0.09980296889370638,0.03961652903469169,0.12717087485353457,0.0758768287409287,0.07636867295511629,0.04587559569405772,0.07419518746334566
BBDC4,0.06168365465295246,0.09513285038675118,0.07945790609837057,0.09980296889370638,0.1164554964608966,0.03780200267733621,0.11271642644348699,0.06903701336140364,0.05825351546073548,0.03852568771339447,0.05816946548393282
ABEV3,0.030402651171588455,0.03431341576855862,0.03633765023114783,0.03961652903469169,0.03780200267733621,0.06417397096043446,0.04035728919869754,0.03677725944430569,0.031075746022489026,0.026088547161420072,0.03597961527671936
BBAS3,0.07053341977038932,0.10246871367134013,0.09324607806625404,0.12717087485353457,0.11271642644348699,0.04035728919869754,0.1861107052428639,0.08148885301585773,0.068757906431872,0.041393359571271444,0.07318962564790346
LREN3,0.04976761866311595,0.061393975263071186,0.06892815823057752,0.0758768287409287,0.06903701336140364,0.03677725944430569,0.08148885301585773,0.1363836255024975,0.05886754147162306,0.036609928254596656,0.06580342542089279
JBSS3,0.052509823210713055,0.05278222180955426,0.06332257159628908,0.07636867295511629,0.05825351546073548,0.031075746022489026,0.068757906431872,0.058867541471623056,0.25546249480867544,0.03349575343468071,0.052040365975881187
WEGE3,0.032151022061610406,0.03522410834351473,0.03979682400745804,0.04587559569405772,0.03852568771339447,0.026088547161420072,0.041393359571271444,0.036609928254596656,0.03349575343468071,0.09758831816580095,0.037232136262669836
NTCO3,0.05435476604898112,0.05178963689722373,0.05975349192636596,0.07419518746334566,0.05816946548393282,0.03597961527671936,0.07318962564790346,0.06580342542089279,0.052040365975881187,0.037232136262669836,0.15731600278316002
