,Prior,Historical,Posterior,Views,Posterior_confidence
VALE3,0.08511192576321591,0.0085714812417097,0.004999476801275132,-0.1,0.07969636731155333
ITUB4,0.07141545757001716,0.046987542273007055,0.11102219069639221,0.1,0.09374091911292612
B3SA3,0.07237110984831267,0.15040502616255957,0.05212817736058646,-0.03,0.06246418974273407
PETR4,0.09948407868007178,-0.04793008090917117,0.026287002536327014,-0.15,0.10502557714507871
BBDC4,0.07610321073481378,0.05878065160433388,0.1276433527940884,0.21,0.10385750831342695
ABEV3,0.047036127132936346,0.07477584767563705,0.1320080348928764,0.24,0.07738123751592772
BBAS3,0.08697946720423826,0.019518999206910248,0.1626443175797762,0.32,0.11961169402610866
LREN3,0.06347258584032986,0.2108475601253812,0.039666063083308,-0.06,0.06607456742685844
JBSS3,0.06401191915400978,0.08526766314863243,0.15720161785109305,0.27,0.10545131289637028
WEGE3,0.0469075674680067,0.23116398022908946,0.07017516911347602,0.08,0.05959115838972109
NTCO3,0.0625253470804108,0.08357086445144146,0.0738178065731008,0.07,0.07438127598231305
